Monthly subscription fee: $0–30 (inclusive)
Monthly token allowance | Subscription plan x served model
Default month = 4 weeks; Kimi monthly pool = 5× weekly; full utilization, all token types; APIs have no allowance
Allowances within a plan are not additive. Claude Max (9/14+): estimated permanent allowances from 2026-09-14, not current boosted limits. Source: adopted.csv.
Color = plan/API provider; confidence [H] high / [M] medium / [L] low; numbers indicate row order, not model capability. Ties listed sequentially.
API cost/mo = this row's adopted monthly allowance priced at the provider's official metered rates (same standard workload weighting); the bracketed figure is that amount ÷ the monthly fee, i.e. how many times the subscription fee the same tokens would cost at list price. Below 1× means the subscription costs more than buying the same tokens on the API. * = the rate is not a first-party rate card (vendor page is JS-rendered or the model is open-weight; a named gateway or tracker is used, low confidence); ‡ = this row's allowance was itself derived from a sibling model by a list-price ratio, so the figure repeats that row and is not independent evidence for this model. - = no defensible public rate found; left blank rather than invented. Cache writes are not modeled, so the figure is a floor.
† Kimi: CNY199 K3 uses a K3-256K-dominant / ~84% weekly sample ×5 = 1.451B; pure K2.7 uses 11.9M / 0.76% = 1.568B. Other tiers are scaled by official ratios. OpenCode Go uses official dollar pools and rates under the standard workload.
FX: 1 USD = 6.7787 CNY (2026-09-04, CFETS central parity, via Xinhua); CNY monthly fees divided by this rate.
FX source: https://www.xinhuanet.com/20260904/4c1ce1cbf39d416997cb9c237d6f5024/c.html
No.  Plan                                Monthly fee  Served model                  Monthly tokens (B)  USD/MTok  API cost/mo      Confidence
74   GLM Coding Lite (v2 ¥49) Midpoint   CNY 49       GLM 5.3                       0.317               0.0228    95 (13.11×)      high
75   OpenCode Go                         USD 10       Kimi K2.6                     0.3151              0.03174   60 (6×)          medium
76   Kimi CN CNY 99 †                    CNY 99       Kimi K2.7 Code                0.314               0.04651   69 (4.72×)       medium
77   Command Code GOAT                   USD 10       Hy4 Preview                   0.2957              0.03382   20 (2×)          medium
78   Kimi CN CNY 99 †                    CNY 99       Kimi K3                       0.29                0.05036   119 (8.13×)      medium
79   Command Code GOAT                   USD 10       Qwen3.6 Plus                  0.2779              0.03598   19 (1.94×)       medium
80   OpenCode Go                         USD 10       Kimi K2.7 Code                0.2731              0.03662   60 (6×)          medium
81   Command Code GOAT                   USD 10       Kimi K2.7 Code                0.2731              0.03662   60 (6×)          medium
82   Ollama Pro                          USD 20       Kimi K2.7 Code                0.2731              0.07323   60 (3×)          medium
83   Ollama Pro                          USD 20       GLM 5.1                       0.2635              0.0759    79 (3.94×)       medium
84   Command Code GOAT                   USD 10       DeepSeek V4 Flash Fast        0.2624              0.03811   -                medium
85   Command Code GOAT                   USD 10       GLM 5.2                       0.2341              0.04272   70 (7×)          medium
86   GLM Coding Lite (v3 ¥118) Peak      CNY 118      GLM 5.3                       0.212               0.08211   63 (3.64×)       high
87   GLM Coding Lite (v2 ¥49) Peak       CNY 49       GLM 5.3                       0.212               0.0341    63 (8.77×)       high
