plan_id,plan,channel,fee_usd,group,multiple,cost_usd_month,models,model_count_in_group,inherited,third_party_rate,plan_model_count,plan_value_group_count,plan_varies,plan_best_multiple,plan_best_model,plan_worst_multiple,plan_worst_model
ollama_pro,Ollama Pro,Ollama,20.0,shared,3.0,60.01,GLM 5.2 | GLM 5.3 | GLM 5.3 Flash | Kimi K2.7 Code | Kimi K3 | MiniMax M2.7,6,False,False,10,4,False,6.0,DeepSeek V4 Flash,1.5,MiniMax M3
ollama_pro,Ollama Pro,Ollama,20.0,exception,6.0,120.0,DeepSeek V4 Flash | DeepSeek V4 Pro,2,False,False,10,4,False,6.0,DeepSeek V4 Flash,1.5,MiniMax M3
ollama_pro,Ollama Pro,Ollama,20.0,exception,3.94,78.79,GLM 5.1,1,False,False,10,4,False,6.0,DeepSeek V4 Flash,1.5,MiniMax M3
ollama_pro,Ollama Pro,Ollama,20.0,exception,1.5,30.0,MiniMax M3,1,False,False,10,4,False,6.0,DeepSeek V4 Flash,1.5,MiniMax M3
kimi_andante_cn,Kimi 会员 49,Kimi,7.23,shared,2.37,17.13,Kimi K2.7 Code,1,False,False,1,1,False,2.37,Kimi K2.7 Code,2.37,Kimi K2.7 Code
command_code_goat,Command Code GOAT,Command Code,10.0,shared,2.0,20.0,GLM 5.3 | GPT 5.6 Luna | Gemini 3.7 Flash | Gemini 3.8 Flash | Grok 4.6 | Hy4 Preview | Kimi K3 | Muse Spark 1.2 | Muse Spark 1.2 Contributor,9,False,True,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,28.54,285.41,MiMo V2.5 Pro,1,False,True,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,12.0,120.0,DeepSeek V4 Flash,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,8.43,84.34,Qwen3.8 27B,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,7.88,78.75,MiMo V2.5,1,False,True,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,7.0,70.0,GLM 5.2,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,6.0,59.99,Kimi K2.7 Code,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,5.46,54.6,GPT 5.6 Sol,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,4.7,47.0,MiniMax M3,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,4.0,40.0,DeepSeek V4 Flash Vision Exp | DeepSeek V4 Pro | GLM 5.3 Flash,3,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,3.3,33.0,Qwen3.7 Plus,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,1.94,19.45,Qwen3.6 Plus,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,1.91,19.08,Hy3,1,False,True,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,1.89,18.85,Qwen3.8 Flash,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,1.88,18.81,Qwen3.7 Max,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,1.68,16.84,Nemotron 3 Ultra | Qwen3.8 Max | Qwen3.8 Max 0902,3,False,True,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,1.29,12.94,Grok 4.5,1,False,False,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,1.18,11.76,Step 3.7 Flash,1,False,True,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
command_code_goat,Command Code GOAT,Command Code,10.0,exception,1.04,10.36,Step 3.5 Flash,1,False,True,31,19,True,28.54,MiMo V2.5 Pro,1.04,Step 3.5 Flash
aliyun_coding_pro_cn,阿里云百炼 Coding Plan Pro,Alibaba,29.5,shared,0.62,18.26,Qwen3.7 Plus,1,False,False,1,1,False,0.62,Qwen3.7 Plus,0.62,Qwen3.7 Plus
aliyun_coding_pro_global,Alibaba Cloud Coding Plan Pro,Alibaba,50.0,shared,0.37,18.26,Qwen3.7 Plus,1,False,False,1,1,False,0.37,Qwen3.7 Plus,0.37,Qwen3.7 Plus
